Mean,Standard_Deviation, Entropy,RMS,Variance,Smoothness,Kurtosis,Skewness,IDM,ACTIVITY
7667.085714,15219.70487,0.591672779,16041.57955,231639416.4,0.999981368,4.140843973,1.649393661,33188.27645,2
45448.18571,112909.0146,0.863120569,113985.8617,12748445585,0.999996857,5.097860054,2.009695068,166858.6941,0
18634.25714,42863.2592,0.591672779,43840.9507,1837258989,0.999992334,5.051356355,1.990888159,69450.55846,3
42804.3,105288.552,0.863120569,106462.2883,11085679189,0.999996663,5.06527049,1.995382561,160984.0452,0
2240.647143,4709.146647,0.591672779,4901.892786,22176062.14,0.999936247,1.942316626,0.757771515,12546.65627,2
7841.804286,17655.15793,0.591672779,18129.23791,311704601.4,0.999981783,4.360606048,1.698987038,34008.04216,4
25292.27143,60411.21515,0.591672779,61382.85295,3649514916,0.999994352,4.995166871,1.964836877,97095.85471,4
23612.8,56860.67087,0.863120569,57695.95878,3233135892,0.99999395,5.05848131,1.992439685,87961.13665,0
25415.15714,61106.1036,0.591672779,62019.86648,3733955897,0.999994379,4.965893774,1.951343699,98646.22769,3
31646.48571,77327.17903,0.863120569,78273.74684,5979492617,0.999995486,5.039624672,1.984045876,120272.2104,0
6104.328571,12851.25145,0.591672779,13372.50791,165154663.8,0.999976598,4.314345425,1.698647706,26184.92645,2
983.3,2118.267571,0.591672779,2193.838686,4487057.504,0.999854738,2.663102747,1.013484823,6106.123669,4
10238.4,22826.41821,0.591672779,23482.65637,521045368.2,0.999986047,4.641385644,1.819924792,42324.33357,3
6672.745714,14562.8168,0.591672779,15043.42546,212075633.2,0.999978591,4.28443309,1.676130356,29012.49006,3
13966.55714,32091.85372,0.591672779,32830.24625,1029887075,0.999989772,4.985055803,1.962745735,53568.39159,4
673.7035714,1486.852343,0.591672779,1532.575557,2210729.891,0.999787997,3.657708829,1.420616889,4337.722203,4
1333.185714,2900.423614,0.863120569,2998.009623,8412457.141,0.999892857,2.036856097,0.741860234,8029.698643,0
44578.27143,109437.4498,0.863120569,110692.5527,11976555429,0.999996795,5.088686178,2.00572649,164306.8778,0
26397.05714,64077.24206,0.863120569,64931.82147,4105892949,0.999994588,5.077679301,2.000847727,97338.16516,0
2907.618571,5814.57819,0.591672779,6118.305525,33809319.53,0.99995087,2.950517797,1.187673341,14140.91129,3
15327.81429,35789.58154,0.863120569,36508.23413,1280894147,0.99999068,4.743593341,1.856989522,62863.70136,0
7201.968571,15358.58941,0.591672779,15939.15247,235886268.6,0.999980165,4.54147611,1.784659451,29862.36469,5
1227.662857,2525.259219,0.591672779,2640.662725,6376934.124,0.999883648,2.081938637,0.802131471,7202.258321,3
5114.751429,10664.89226,0.591672779,11119.89425,113739926.8,0.99997207,3.987395688,1.570725922,22763.67976,4
2014.822857,4508.747713,0.591672779,4635.105387,20328805.94,0.999929102,2.058190105,0.715074576,11352.77239,2
69285.4,171349.7023,0.591672779,173109.2097,29360720481,0.999997938,5.122652178,2.02121451,250706.7931,5
5083.181429,10437.42623,0.591672779,10918.59706,108939866.4,0.999971897,3.643667493,1.443473896,23378.19751,5
11207.90857,25904.81125,0.591672779,26472.83237,671059245.7,0.999987254,4.829321542,1.892975194,44607.36921,1
18939.08571,43195.46654,0.591672779,44249.15294,1865848330,0.999992457,4.949316883,1.948228218,73535.826,2
6634.161429,14841.55741,0.591672779,15258.32627,220271826.4,0.999978467,4.456713837,1.73759787,28150.88556,3
5925.981429,12608.53916,0.591672779,13091.28581,158975259.7,0.999975894,4.24008932,1.660472377,25593.73413,4
11881.80857,27317.26855,0.591672779,27942.90247,746233160.9,0.999987977,4.788122803,1.877289955,47943.0789,5
30886.11429,72162.90174,0.591672779,73603.73701,5207484388,0.999995375,5.045922458,1.988596592,116425.8485,3
25946.77429,61699.11247,0.591672779,62739.06114,3806780479,0.999994494,5.026054064,1.978662518,98240.92855,2
11574.85714,26724.62895,0.863120569,27315.81431,714205792.5,0.999987658,4.759925697,1.865616838,47176.06063,0
1098.615714,2607.884512,0.863120569,2652.628486,6801061.63,0.999869983,2.049870635,0.620874995,6893.41724,0
9054.057143,19275.23491,0.591672779,20010.85327,371534680.7,0.999984222,4.392146842,1.726999362,38524.66502,3
37732.77143,91407.93546,0.863120569,92658.20314,8355410665,0.999996214,5.086661323,2.006093235,141742.9163,0
71252.78571,176058.2782,0.591672779,177891.5482,30996517338,0.999997995,5.127179964,2.023304024,257155.212,2
